episode,ticker,strategy,return,ending_capital,ann_vol,sharpe,max_drawdown,active_day_hit,exposure,trades,stops
2017-02 to 2017-07,BAP,Core MA + ATR,0.0003598543776264229,100035.98543776265,0.09667451671597062,0.05537037582796213,-0.043222033379383795,0.4857142857142857,0.20930232558139536,7,0
2017-02 to 2017-07,BAP,Enhanced short/order-book,0.0,100000.0,0.0,,0.0,,0.0,0,0
2017-02 to 2017-07,ALL,Core MA + ATR,0.012493966506458287,101249.39665064582,0.049214332547820296,0.517210683414187,-0.02758605857311469,0.5,0.24031007751937986,14,0
2017-02 to 2017-07,ALL,Enhanced short/order-book,0.016825129090658253,101682.51290906583,0.04815963247837135,0.7006411188566546,-0.023426346990837565,0.5116279069767442,0.23255813953488372,13,0
2017-02 to 2017-07,HIG,Core MA + ATR,0.004039661270868633,100403.96612708687,0.04134453725202135,0.21096940250312027,-0.0199557510889099,0.5,0.14728682170542637,6,0
2017-02 to 2017-07,HIG,Enhanced short/order-book,0.015808293907385362,101580.82939073854,0.037394153341846016,0.8379050566115352,-0.016598466253175848,0.5416666666666666,0.13953488372093023,5,0
2018-06 to 2020-05,KNSL,Core MA + ATR,-0.058048227401110264,94195.17725988898,0.17616903901982467,-0.08250374690554463,-0.2055169300715458,0.4875,0.2450199203187251,37,0
2018-06 to 2020-05,KNSL,Enhanced short/order-book,-0.058048227401110264,94195.17725988898,0.17616903901982467,-0.08250374690554463,-0.2055169300715458,0.4875,0.2450199203187251,37,0
2018-06 to 2020-05,MCY,Core MA + ATR,-0.12638953772289774,87361.04622771022,0.21178498254507933,-0.2146788409295718,-0.21295735784372538,0.45528455284552843,0.18326693227091634,32,1
2018-06 to 2020-05,MCY,Enhanced short/order-book,-0.1568427408448383,84315.72591551617,0.11306697249036737,-0.70123938613061,-0.24004789156335826,0.49206349206349204,0.09163346613545817,18,1
